Signal_HU,Noise_HU,CNR_HU,Signal_Kedge,Noise_Kedge,CNR_Kedge
87.01219512,146.6868538,-1.036396326,0.706097561,1.415332349,-0.900671951
146.7234043,135.1534091,0.261719799,1.53412766,1.160340909,0.596941592
165.912766,171.984375,-0.103924525,2.069702128,1.937556818,0.133515507
184.1255319,188.6704545,-0.047792559,2.41412766,2.232698864,0.112104235
NA,NA,NA,NA,NA,NA
